No.,(mm),(Mpa),(Gpa),(mm),(mm),(mm),(kN)
358      ,150,26,180,1.2,80,400,32.77
359      ,150,26,180,1.2,80,400,35.01
360      ,150,26,180,1.2,80,400,29.15
361      ,150,26,241,0.166,100,400,25.39
362      ,150,26,241,0.166,100,400,29.09
363      ,150,26,241,0.166,100,100,20.45
364      ,150,26,241,0.166,100,100,21.22
365      ,150,26,241,0.166,100,100,21.45
366      ,150,26,241,0.166,100,400,20.82
367      ,150,26,241,0.166,100,400,18.97
368      ,150,26,241,0.166,100,400,20.14
369      ,150,26,241,0.166,100,100,19.4
370      ,140,44.57,209,0.176,100,60,20
371      ,140,44.57,209,0.176,100,60,18.8
372      ,140,44.57,209,0.176,100,80,25.8
373      ,140,44.57,209,0.176,100,80,25.2
374      ,140,44.57,209,0.176,100,100,25.8
375      ,140,44.57,209,0.176,100,100,27.3
376      ,140,44.57,209,0.176,100,140,26.7
377      ,140,44.57,209,0.176,100,140,25.9
378      ,140,44.57,209,0.176,100,180,27.8
379      ,140,44.57,209,0.176,100,180,31.7
380      ,140,44.57,209,0.176,100,220,31.7
381      ,140,44.57,209,0.176,100,220,28.6
382      ,140,44.57,209,0.176,100,100,26.9
383      ,140,44.57,209,0.176,100,100,28.5
384      ,140,44.57,209,0.176,100,100,29.8
385      ,140,44.57,209,0.176,100,100,28.4
386      ,140,44.57,209,0.176,100,100,29.8
387      ,140,44.57,209,0.176,100,140,37.4
388      ,140,44.57,209,0.176,100,140,33.3
389      ,140,44.57,209,0.176,100,180,42.8
390      ,140,44.57,209,0.176,100,180,39
391      ,140,44.57,209,0.176,70,100,21.2
392      ,140,44.57,209,0.176,70,100,24.2
393      ,100,16,272.66,0.167,50,50,12.66
394      ,100,16,272.66,0.167,50,50,11.1
395      ,100,16,272.66,0.167,50,50,10.97
396      ,100,16,272.66,0.167,50,80,13.32
397      ,100,16,272.66,0.167,50,80,13.45
398      ,100,16,272.66,0.167,50,80,12.13
399      ,100,16,272.66,0.167,50,100,14.77
400      ,100,16,272.66,0.167,50,100,15.31
401      ,100,16,272.66,0.167,50,100,15.29
402      ,100,16,272.66,0.167,50,300,16.9
403      ,100,16,272.66,0.167,50,300,17.73
404      ,100,16,272.66,0.167,50,300,17.22
405      ,100,24,272.66,0.167,50,50,13.55
406      ,100,24,272.66,0.167,50,50,13.64
407      ,100,24,272.66,0.167,50,50,13.07
408      ,100,24,272.66,0.167,50,80,14.47
409      ,100,24,272.66,0.167,50,80,14.45
410      ,100,24,272.66,0.167,50,80,14.92
411      ,100,24,272.66,0.167,50,100,14.4
412      ,100,24,272.66,0.167,50,100,15.19
413      ,100,24,272.66,0.167,50,300,16.43
414      ,100,24,272.66,0.167,50,300,17.42
415      ,100,24,272.66,0.167,50,300,19.21
416      ,100,32,272.66,0.167,50,50,14.91
417      ,100,32,272.66,0.167,50,50,15.83
418      ,100,32,272.66,0.167,50,50,15.6
419      ,100,32,272.66,0.167,50,80,16.66
420      ,100,32,272.66,0.167,50,80,16.99
421      ,100,32,272.66,0.167,50,80,16.48
422      ,100,32,272.66,0.167,50,100,18.4
423      ,100,32,272.66,0.167,50,100,18.15
424      ,100,32,272.66,0.167,50,100,18.27
425      ,100,32,272.66,0.167,50,300,17.86
426      ,100,32,272.66,0.167,50,300,18.6
427      ,100,41.5,272.66,0.167,50,50,18.44
428      ,100,41.5,272.66,0.167,50,50,17.6
429      ,100,41.5,272.66,0.167,50,50,17.22
430      ,100,41.5,272.66,0.167,50,80,18.62
431      ,100,41.5,272.66,0.167,50,80,17.93
432      ,100,41.5,272.66,0.167,50,80,19.29
433      ,100,41.5,272.66,0.167,50,100,18.15
434      ,100,41.5,272.66,0.167,50,100,20.59
435      ,100,41.5,272.66,0.167,50,100,20.16
436      ,100,41.5,272.66,0.167,50,300,20.72
437      ,100,41.5,272.66,0.167,50,300,20.82
438      ,100,41.5,272.66,0.167,50,300,23.87
439      ,100,51.6,272.66,0.167,50,50,19.39
440      ,100,51.6,272.66,0.167,50,50,19.44
441      ,100,51.6,272.66,0.167,50,50,18.63
442      ,100,51.6,272.66,0.167,50,80,18.72
443      ,100,51.6,272.66,0.167,50,80,20.2
444      ,100,51.6,272.66,0.167,50,80,20.9
445      ,100,51.6,272.66,0.167,50,100,20.5
446      ,100,51.6,272.66,0.167,50,100,20.94
447      ,100,51.6,272.66,0.167,50,100,19.1
448      ,100,51.6,272.66,0.167,50,300,20.87
449      ,100,51.6,272.66,0.167,50,300,20.19
450      ,200,55.29,170,1.25,50,100,17.3
451      ,200,62.66,170,1.25,50,200,27.5
452      ,200,68.33,170,1.25,50,300,35.1
453      ,200,17,110,0.825,50,100,11.64
454      ,200,17,110,0.99,50,100,12.86
455      ,200,46.2,110,0.495,50,100,12.55
456      ,200,46.2,110,0.66,50,100,14.25
457      ,200,46.2,110,0.825,50,100,17.72
458      ,200,46.2,110,0.99,50,100,18.86
459      ,200,61.5,110,0.495,50,100,13.24
460      ,200,61.5,110,0.66,50,100,15.17
461      ,200,61.5,110,0.825,50,100,18.86
462      ,200,61.5,110,0.99,50,100,19.03
463      ,160,19,175,1.3,60,300,33.18
464      ,160,19,175,1.3,60,300,29.86
465      ,160,19,175,1.3,60,300,31.88
466      ,160,19,109,1.6,100,300,49.41
467      ,160,19,109,1.6,100,300,47.72
468      ,160,19,166,1.2,100,300,49.85
469      ,160,19,166,1.2,100,300,48.05
470      ,160,19,166,1.2,100,300,52.6
471      ,160,19,171,1.25,100,300,41.25
472      ,160,19,171,1.25,100,300,38.14
473      ,160,19,221,1.7,100,300,54.79
474      ,160,19,221,1.7,100,300,51.41
475      ,160,19,221,1.7,100,300,54.57
476      ,150,37.55,140,1.4,50,250,39.78
477      ,150,32.78,140,1.4,50,250,31
478      ,150,35.7,140,1.4,50,200,35.65
479      ,228.6,28.88,108.48,1.016,25.4,76,8.46
480      ,228.6,37.68,108.48,1.016,25.4,76,9.93
481      ,228.6,48.87,108.48,1.016,25.4,76,10.64
482      ,228.6,48.87,108.48,1.016,25.4,76,10.64
483      ,228.6,45.24,108.48,1.016,25.4,76,10.53
484      ,228.6,45.24,108.48,1.016,25.4,76,9.61
485      ,228.6,45.24,108.48,1.016,25.4,76,10.52
486      ,228.6,45.24,108.48,1.016,25.4,76,11.2
487      ,228.6,24,108.48,1.016,25.4,76,9.87
488      ,228.6,28.9,108.48,1.016,25.4,76,9.34
489      ,228.6,45.34,108.48,1.016,25.4,76,11.2
490      ,228.6,36.4,108.48,1.016,25.4,51,8.09
491      ,228.6,36.4,108.48,1.016,25.4,102,12.81
492      ,152.4,36.4,108.48,1.016,25.4,152,11.92
493      ,152.4,36.4,108.48,1.016,25.4,203,11.57
494      ,200,24,152.2,1.4,30,50,5.15
495      ,200,24,152.2,1.4,10,100,7.55
496      ,200,24,152.2,1.4,10,150,7.7
497      ,200,24,152.2,1.4,10,200,7.9
498      ,200,24,152.2,1.4,10,250,6.25
499      ,200,24,152.2,1.4,10,300,7.58
500      ,200,32,152.2,1.4,10,50,5.1
501      ,200,32,152.2,1.4,10,100,6.85
502      ,200,32,152.2,1.4,10,150,6.35
503      ,200,32,152.2,1.4,10,200,6.95
504      ,200,32,152.2,1.4,10,250,6.8
505      ,200,32,152.2,1.4,10,300,6.4
506      ,200,40,152.2,1.4,10,50,4.55
507      ,200,40,152.2,1.4,10,100,7.1
508      ,200,40,152.2,1.4,10,150,7.78
509      ,200,40,152.2,1.4,10,200,7.65
510      ,200,40,152.2,1.4,10,250,6.8
511      ,200,40,152.2,1.4,10,300,7.25
512      ,200,24,152.2,1.4,10,50,9.3
513      ,200,24,152.2,1.4,30,100,16.25
514      ,200,24,152.2,1.4,30,150,16.2
515      ,200,24,152.2,1.4,30,250,15.6
516      ,200,24,152.2,1.4,30,300,15.85
517      ,200,32,152.2,1.4,30,50,9.15
518      ,200,32,152.2,1.4,30,100,14.9
519      ,200,32,152.2,1.4,30,150,16.05
520      ,200,32,152.2,1.4,30,200,16.15
521      ,200,32,152.2,1.4,30,250,16.11
522      ,200,32,152.2,1.4,30,300,16.9
523      ,200,40,152.2,1.4,30,50,9.2
524      ,200,40,152.2,1.4,30,100,17.8
525      ,200,40,152.2,1.4,30,150,15.22
526      ,200,40,152.2,1.4,30,200,18.5
527      ,200,40,152.2,1.4,30,250,19
528      ,200,40,152.2,1.4,30,300,17.73
529      ,200,24,152.2,1.4,30,50,13.3
530      ,200,24,152.2,1.4,30,100,26
531      ,200,24,152.2,1.4,30,150,27.8
532      ,200,24,152.2,1.4,30,200,27.2
533      ,200,24,152.2,1.4,30,250,24.84
534      ,200,32,152.2,1.4,40,50,10.7
535      ,200,32,152.2,1.4,40,100,24.5
536      ,200,32,152.2,1.4,40,150,27.45
537      ,200,32,152.2,1.4,40,200,19.3
538      ,200,32,152.2,1.4,40,250,21.9
539      ,200,32,152.2,1.4,40,300,27.3
540      ,200,40,152.2,1.4,50,50,10.8
541      ,200,40,152.2,1.4,50,100,16
542      ,200,40,152.2,1.4,50,150,21.25
543      ,200,40,152.2,1.4,50,200,25
544      ,200,40,152.2,1.4,50,250,24.9
545      ,150,25.3,248.3,0.167,50,30,9.36
546      ,150,25.42,248.3,0.167,50,50,11.89
547      ,150,25.42,248.3,0.167,50,100,15.91
548      ,150,25.3,248.3,0.167,50,250,16.59
549      ,150,25.3,244.6,0.167,50,30,7.38
550      ,150,25.3,244.6,0.167,50,50,18.95
551      ,150,25.3,244.6,0.167,50,100,22.09
552      ,150,25.3,244.6,0.167,50,250,23.76
553      ,150,25.3,244.6,0.167,50,400,23.41
554      ,150,25.42,238.1,0.167,50,30,11.61
555      ,150,25.42,238.1,0.167,50,50,19.67
556      ,150,25.42,238.1,0.167,50,100,23.41
557      ,150,25.42,238.1,0.167,50,250,24.17
558      ,150,32.92,248.3,0.167,50,30,13.29
559      ,150,32.92,248.3,0.167,50,50,14.27
560      ,150,32.92,248.3,0.167,50,100,18.42
561      ,150,33.96,248.3,0.167,50,250,18.42
562      ,150,32.92,244.6,0.167,50,30,8.99
563      ,150,32.92,244.6,0.167,50,50,13.66
564      ,150,32.92,244.6,0.167,50,100,23.73
565      ,150,32.92,244.6,0.167,50,250,26.93
566      ,150,32.92,244.6,0.167,50,400,28.16
567      ,150,33.96,238.1,0.167,50,30,13.49
568      ,150,33.96,238.1,0.167,50,50,18.84
569      ,150,33.96,238.1,0.167,50,100,24.72
570      ,150,33.96,238.1,0.167,50,250,30.15
571      ,150,45.15,248.3,0.167,50,30,10.05
572      ,150,45.15,248.3,0.167,50,50,13.05
573      ,150,45.15,248.3,0.167,50,100,16.15
574      ,150,45.15,248.3,0.167,50,250,19.27
